File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001SUM	bed broadPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE												946127	Bradley Bernstein, Broad	f63710164ecc7f35a33577279d80c6ed		https://www.encodeproject.org/files/ENCFF001SUM/@@download/ENCFF001SUM.bed.gz	hg19				archived	s3://encode-public/2010/11/16/67de1f38-ff4f-4d00-9bab-2759a7a14ed8/ENCFF001SUM.broadPeak.gz	low read length, low read depth, control low read depth	missing derived_from	control insufficient read depth	
ENCFF433IIU	bam	unfiltered alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1			36				ENCFF000AUB, ENCFF643CGH	2347183866	ENCODE Processing Pipeline	f263c5f691cdbfa7ae1c571a142ffcd9		https://www.encodeproject.org/files/ENCFF433IIU/@@download/ENCFF433IIU.bam	GRCh38				released	s3://encode-public/2016/08/20/7df82a87-f4de-475b-b24a-365cb57034c1/ENCFF433IIU.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF708JUN	bam	unfiltered alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2			36				ENCFF000ASR, ENCFF643CGH	4562099548	ENCODE Processing Pipeline	d4ac1a6ee56571d2b2322865e7d8a1a9		https://www.encodeproject.org/files/ENCFF708JUN/@@download/ENCFF708JUN.bam	GRCh38				released	s3://encode-public/2016/08/20/e7b99d43-b2a3-4032-979d-d3523f94f5b5/ENCFF708JUN.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF019VEK	bam	alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1			36				ENCFF000AUB, ENCFF643CGH	769580369	ENCODE Processing Pipeline	2a810c2f2e718018e2ca81f96d45b34a		https://www.encodeproject.org/files/ENCFF019VEK/@@download/ENCFF019VEK.bam	GRCh38				released	s3://encode-public/2016/08/20/8ae9cb04-553a-4290-b3f0-15f0581a001a/ENCFF019VEK.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF278QPY	bam	alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2			36				ENCFF000ASR, ENCFF643CGH	2269242278	ENCODE Processing Pipeline	fc228a093d792fb0b96899d992c5749f		https://www.encodeproject.org/files/ENCFF278QPY/@@download/ENCFF278QPY.bam	GRCh38				released	s3://encode-public/2016/08/20/7f84be13-f3a2-49b5-85ef-5e02c416dd42/ENCFF278QPY.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF051DIV	bigBed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF566VFL	3103210	ENCODE Processing Pipeline	a5b5d22ba24ed8f2e6084b487c840f1b		https://www.encodeproject.org/files/ENCFF051DIV/@@download/ENCFF051DIV.bigBed	GRCh38				released	s3://encode-public/2016/08/23/2f4ae369-1810-411f-83d8-a2f20144e26f/ENCFF051DIV.bigBed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF321DZL	bigWig	signal p-value	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF019VEK, ENCFF278QPY, ENCFF797ARJ, ENCFF873ZWP	253234083	ENCODE Processing Pipeline	3796df71c123d74697cfdce0bb57aa69		https://www.encodeproject.org/files/ENCFF321DZL/@@download/ENCFF321DZL.bigWig	GRCh38				released	s3://encode-public/2016/08/23/e515332d-985c-4022-bbd7-7e95c589bae9/ENCFF321DZL.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF542PBZ	bed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF019VEK, ENCFF797ARJ, ENCFF873ZWP	1092881	ENCODE Processing Pipeline	0a70bd00d40948fae138e6536c4295ff		https://www.encodeproject.org/files/ENCFF542PBZ/@@download/ENCFF542PBZ.bed.gz	GRCh38				released	s3://encode-public/2016/08/23/36dc66b9-b83f-4b44-bb6a-409d6c73807f/ENCFF542PBZ.bed.gz	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF566VFL	bed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF019VEK, ENCFF278QPY, ENCFF797ARJ, ENCFF873ZWP	1118594	ENCODE Processing Pipeline	825a806a5266cc17a4660b0d125de4e8		https://www.encodeproject.org/files/ENCFF566VFL/@@download/ENCFF566VFL.bed.gz	GRCh38				released	s3://encode-public/2016/08/23/69f6d60f-2b7f-4ad2-be28-b288073e6676/ENCFF566VFL.bed.gz	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF505CKO	bed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF278QPY, ENCFF873ZWP	811538	ENCODE Processing Pipeline	93369a3c75401b7a72606f23cf3320ce		https://www.encodeproject.org/files/ENCFF505CKO/@@download/ENCFF505CKO.bed.gz	GRCh38				released	s3://encode-public/2016/08/23/c52734f4-2fa9-4cd5-ab44-dd2cab72ba32/ENCFF505CKO.bed.gz	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF846SSI	bigBed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF542PBZ	3070399	ENCODE Processing Pipeline	62f74f93d02da16a4b0bc98768cabb57		https://www.encodeproject.org/files/ENCFF846SSI/@@download/ENCFF846SSI.bigBed	GRCh38				released	s3://encode-public/2016/08/23/79bdd3b2-e8fc-43a8-9e38-30a6882dc1bc/ENCFF846SSI.bigBed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF019HFF	bigBed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF505CKO	2314317	ENCODE Processing Pipeline	d592655835886a669be69eb1c0c03712		https://www.encodeproject.org/files/ENCFF019HFF/@@download/ENCFF019HFF.bigBed	GRCh38				released	s3://encode-public/2016/08/23/117ef2a5-fda6-47de-8f91-dc8663e80cf1/ENCFF019HFF.bigBed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF060LLG	bigWig	signal p-value	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF019VEK, ENCFF797ARJ, ENCFF873ZWP	266788992	ENCODE Processing Pipeline	ed534d7697840ad55340dc6a29dc6294		https://www.encodeproject.org/files/ENCFF060LLG/@@download/ENCFF060LLG.bigWig	GRCh38				released	s3://encode-public/2016/08/23/d1e95303-fac7-4313-9abe-18f4659763f1/ENCFF060LLG.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF722QFZ	bigWig	fold change over control	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF278QPY, ENCFF873ZWP	559935300	ENCODE Processing Pipeline	91fb458f3cdb7cc5be948c40adec0d2f		https://www.encodeproject.org/files/ENCFF722QFZ/@@download/ENCFF722QFZ.bigWig	GRCh38				released	s3://encode-public/2016/08/23/b2987796-0e50-44df-9450-56b9c11abba2/ENCFF722QFZ.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF753VYO	bigWig	signal p-value	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF278QPY, ENCFF873ZWP	115521544	ENCODE Processing Pipeline	85103ffa350174931d96ed402401f93f		https://www.encodeproject.org/files/ENCFF753VYO/@@download/ENCFF753VYO.bigWig	GRCh38				released	s3://encode-public/2016/08/23/941650aa-e95c-4c49-ba93-4eacd169889b/ENCFF753VYO.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF264IMQ	bigWig	fold change over control	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF019VEK, ENCFF797ARJ, ENCFF873ZWP	259322694	ENCODE Processing Pipeline	7ce3b882953dc7f890ad99ff74a722e6		https://www.encodeproject.org/files/ENCFF264IMQ/@@download/ENCFF264IMQ.bigWig	GRCh38				released	s3://encode-public/2016/08/23/d0780f17-467b-4764-9a34-479bb0056052/ENCFF264IMQ.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF776DPQ	bigWig	fold change over control	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF019VEK, ENCFF278QPY, ENCFF797ARJ, ENCFF873ZWP	658559873	ENCODE Processing Pipeline	c0ee2ae709ae2df53c8c2a13270a2bac		https://www.encodeproject.org/files/ENCFF776DPQ/@@download/ENCFF776DPQ.bigWig	GRCh38				released	s3://encode-public/2016/08/23/6b4cd8db-2a4c-4023-97c4-1232aaa3ef59/ENCFF776DPQ.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF228GWY	bed narrowPeak	replicated peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF505CKO, ENCFF542PBZ, ENCFF566VFL	1270864	ENCODE Processing Pipeline	2e17d082e69488b174f2878f89eeebfb		https://www.encodeproject.org/files/ENCFF228GWY/@@download/ENCFF228GWY.bed.gz	GRCh38				released	s3://encode-public/2016/08/23/94dcbdfe-d514-48ef-83a8-8973a57a7c84/ENCFF228GWY.bed.gz	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF355KLC	bigBed narrowPeak	replicated peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF228GWY	2716723	ENCODE Processing Pipeline	bcc5e3bfb08604a946428b6ca84cad12		https://www.encodeproject.org/files/ENCFF355KLC/@@download/ENCFF355KLC.bigBed	GRCh38				released	s3://encode-public/2016/08/23/23d0fb8b-230a-42f7-8a51-003508213d70/ENCFF355KLC.bigBed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF378ZBS	bigWig	fold change over control	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE											ENCFF425LOS	479312792	Anshul Kundaje, Stanford	2da1dde645693a3f4d0cae0414c3a6cc		https://www.encodeproject.org/files/ENCFF378ZBS/@@download/ENCFF378ZBS.bigWig	hg19				archived	s3://encode-public/2016/08/18/85aa5f26-84d0-4134-bf19-a427af30360c/ENCFF378ZBS.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF175LHK	bigWig	signal p-value	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE											ENCFF425LOS	342671549	Anshul Kundaje, Stanford	9506f6717dca9a298fd6ad5daa9bcd69		https://www.encodeproject.org/files/ENCFF175LHK/@@download/ENCFF175LHK.bigWig	hg19				archived	s3://encode-public/2016/08/18/941732e9-64be-46fb-981c-15093be2461e/ENCFF175LHK.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF425LOS	tagAlign	alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE												198295243	Anshul Kundaje, Stanford	1fdcf651c92a53917c894d2e76147bcc		https://www.encodeproject.org/files/ENCFF425LOS/@@download/ENCFF425LOS.tagAlign.gz	hg19				archived	s3://encode-public/2016/07/19/ad5840bf-b617-4c46-9d4b-e145ab036eb8/ENCFF425LOS.tagAlign.gz	low read length, low read depth, control low read depth	missing derived_from	control insufficient read depth	
ENCFF398NET	bam	unfiltered alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1			36				ENCFF000AUB, ENCFF807MUK	2338775299	ENCODE Processing Pipeline	8a81b2bb012e857e0ee4a34587244baf		https://www.encodeproject.org/files/ENCFF398NET/@@download/ENCFF398NET.bam	hg19				released	s3://encode-public/2017/01/05/d388e5e2-f02a-4b8c-b5c9-e8671149de5d/ENCFF398NET.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF788INU	bam	alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1			36				ENCFF000AUB, ENCFF807MUK	768732911	ENCODE Processing Pipeline	8049378b9416464fc63019d4141588f1		https://www.encodeproject.org/files/ENCFF788INU/@@download/ENCFF788INU.bam	hg19				released	s3://encode-public/2017/01/05/45cd9f69-66c1-4072-be45-0be101af0fb3/ENCFF788INU.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF475CKB	bam	alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2			36				ENCFF000ASR, ENCFF807MUK	2266912338	ENCODE Processing Pipeline	c6663e0333ec0da6aff3e73cc31d04bd		https://www.encodeproject.org/files/ENCFF475CKB/@@download/ENCFF475CKB.bam	hg19				released	s3://encode-public/2017/03/07/3575cba2-4367-4445-8684-6b33687713e7/ENCFF475CKB.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF478HXG	bam	unfiltered alignments	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2			36				ENCFF000ASR, ENCFF807MUK	4539005885	ENCODE Processing Pipeline	dc5f59c8ab2d5393f57004f1e5b61247		https://www.encodeproject.org/files/ENCFF478HXG/@@download/ENCFF478HXG.bam	hg19				released	s3://encode-public/2017/03/07/bd41cfdb-03b2-47e0-a1ab-7f232440c53e/ENCFF478HXG.bam	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF795URC	bed narrowPeak	replicated peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF068UAA, ENCFF368BLZ, ENCFF392CDW	1281877	ENCODE Processing Pipeline	ef8109748788490d7b4b119aa0e3b3d6		https://www.encodeproject.org/files/ENCFF795URC/@@download/ENCFF795URC.bed.gz	hg19				released	s3://encode-public/2017/03/08/bfc0aa8a-bb8d-4daf-8f2d-eab9ba5b1ea0/ENCFF795URC.bed.gz	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF392CDW	bed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF232FPZ, ENCFF475CKB, ENCFF624TPS, ENCFF788INU	1109986	ENCODE Processing Pipeline	d62bf88a6251b822742f2757a3fbe6a9		https://www.encodeproject.org/files/ENCFF392CDW/@@download/ENCFF392CDW.bed.gz	hg19				released	s3://encode-public/2017/03/08/97a8ec1c-b0fc-4fbc-8e6b-30a004456f93/ENCFF392CDW.bed.gz	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF950GTO	bigBed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF368BLZ	2327680	ENCODE Processing Pipeline	a0b0f5d7fc13ee57529751e20888a28e		https://www.encodeproject.org/files/ENCFF950GTO/@@download/ENCFF950GTO.bigBed	hg19				released	s3://encode-public/2017/03/08/4446567b-8031-4bfd-80b2-74f241a83936/ENCFF950GTO.bigBed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF392RKR	bigBed narrowPeak	replicated peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF795URC	2738954	ENCODE Processing Pipeline	475082b631418e372f1276088b32d99f		https://www.encodeproject.org/files/ENCFF392RKR/@@download/ENCFF392RKR.bigBed	hg19				released	s3://encode-public/2017/03/08/c9e87eec-1828-43f1-832c-c699cd8daf82/ENCFF392RKR.bigBed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF631NXW	bigBed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1							ENCFF068UAA	3114411	ENCODE Processing Pipeline	2e2c2de8dccdeb0f4390ee1a28f7e050		https://www.encodeproject.org/files/ENCFF631NXW/@@download/ENCFF631NXW.bigBed	hg19				released	s3://encode-public/2017/03/08/7a0ba5c7-d48c-4312-86eb-febaa06398ee/ENCFF631NXW.bigBed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF388LRV	bigBed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				1, 2							ENCFF392CDW	3083352	ENCODE Processing Pipeline	d23ec3e6be585be0ea9095412ea3afb7		https://www.encodeproject.org/files/ENCFF388LRV/@@download/ENCFF388LRV.bigBed	hg19				released	s3://encode-public/2017/03/08/5e54ee9d-1a3b-438d-a4d8-54f9eec868f5/ENCFF388LRV.bigBed	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF368BLZ	bed narrowPeak	peaks	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF475CKB, ENCFF624TPS	819098	ENCODE Processing Pipeline	18a9be0bb52aa7f4d6a790b04131e63c		https://www.encodeproject.org/files/ENCFF368BLZ/@@download/ENCFF368BLZ.bed.gz	hg19				released	s3://encode-public/2017/03/08/aed18f75-28ea-440c-befb-0b2eb22a5517/ENCFF368BLZ.bed.gz	low read length, low read depth, control low read depth		control insufficient read depth	
ENCFF581NVS	bigWig	signal p-value	ENCSR000AKA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										H3K4me3-human	DNA		see document	see document		False	2011-02-10	ENCODE				2							ENCFF475CKB, ENCFF624TPS	115458339	ENCODE Processing Pipeline	35fb9fcaccfee1956b9b825d0ef7efdf		https://www.encodeproject.org/files/ENCFF581NVS/@@download/ENCFF581NVS.bigWig	hg19				released	s3://encode-public/2017/03/08/be996789-7a49-4e8d-a734-fd6abb37179f/ENCFF581NVS.bigWig	low read length, low read depth, control low read depth		control insufficient read depth	
